book_title,author_name,setting,nearest_setting_lon,nearest_setting_lat,residence,nearest_residence_lon,nearest_residence_lat,distance
Brave New World,Aldous Huxley,"London, England",-0.1277583,51.5073509,"Windsor, England",-0.613576,51.4817279,21
Journey to the End of The Night,Louis-Ferdinand Céline,"Paris, France",2.3522219,48.856614,"Paris, France",2.3522219,48.856614,0
Gone with the Wind,Margaret Mitchell,"Atlanta, GA",-84.3879824,33.7489954,"Atlanta, GA",-84.3879824,33.7489954,0
Sons and Lovers,D. H. Lawrence,"Nottinghamshire, England",-0.9936305999999998,53.100319,"Eastwood, England",-1.308544,53.01811499999999,14.27
Slaughterhouse-Five,Kurt Vonnegut,"Schenectady, NY",-73.9395687,42.8142432,"Schenectady, NY",-73.9395687,42.8142432,0
On the Road,Jack Kerouac,"New York City, NY",-74.0059728,40.7127753,"New York City, NY",-74.0059728,40.7127753,0
The Color Purple,Alice Walker,Georgia,-82.9000751,32.1656221,"Eatonton, GA",-83.3884961,33.3267997,85.2
The Tin Drum,Gunter Grass,"Gdansk, Poland",18.6466384,54.35202520000001,"Gdansk, Poland",18.6466384,54.35202520000001,0
The Tin Drum,Gunter Grass,"Dusselsorf, Germany",6.7734556,51.2277411,"Dusseldorf, Germany",6.7734556,51.2277411,0
The Age of Innocence,Edith Wharton,"New York City, NY",-74.0059728,40.7127753,"New York City, NY",-74.0059728,40.7127753,0
Howards End,E. M. Forster,"London, England",-0.1277583,51.5073509,"London, England",-0.1277583,51.5073509,0
Howards End,E. M. Forster,"Hertfordshire, England",-0.2376744,51.80978229999999,"Hertfordshire, England",-0.2376744,51.80978229999999,0
The Master and Margarita,Mikhail Bulgakov,"Moscow, Russia",37.6172999,55.755826,"Moscow, Russia",37.6172999,55.755826,0
All the King's Men,Robert Penn Warren,Louisiana,-91.96233269999999,30.9842977,"Baton Rouge, LA",-91.18714659999999,30.4514677,59.02
A Clockwork Orange,Anthony Burgess,England,-1.1743197,52.3555177,"Banbury, England",-1.339775,52.0629009,21.42
Native Son,Richard Wright,"Chicago, IL",-87.6297982,41.8781136,"Chicago, IL",-87.6297982,41.8781136,0
The Wind in the Willows,Kenneth Grahame,"Thames Valley, England",-1.2464674,51.7612056,"Cookham, England",-0.707741,51.558437,27.04
My Antonia,Willa Cather,"Red Cloud, NE",-98.51958909999999,40.0890046,"Red Cloud, NE",-98.51958909999999,40.0890046,0
My Antonia,Willa Cather,"Lincoln, NE",-96.7025955,40.813616,"Lincoln, NE",-96.7025955,40.813616,0
The Moviegoer,Walker Percy,"New Orleans, LA",-90.0715323,29.95106579999999,"New Orleans, LA",-90.0715323,29.95106579999999,0
Rebecca,Daphne du Maurier,"Menabilly, England",-4.673951,50.32652,"Fowey, England",-4.636525,50.33499,1.75
The Golden Notebook,Doris Lessing,"London, England",-0.1277583,51.5073509,"London, England",-0.1277583,51.5073509,0
Their Eyes Were Watching God,Zora Neale Hurston,"Eatonville, FL",-81.38589139999999,28.6183364,"Eatonville, FL",-81.38589139999999,28.6183364,0
"Rabbit, Run",John Updike,Pennsylvania,-77.1945247,41.2033216,"Berks County, PA",-75.9927652,40.3451566,86.52
Orlando: A Biography,Virginia Woolf,"London, England",-0.1277583,51.5073509,"London, England",-0.1277583,51.5073509,0
Atonement,Ian McEwan,"London, England",-0.1277583,51.5073509,"London, England",-0.1277583,51.5073509,0
Buddenbrooks,Thomas Mann,"Lubeck, Germany",10.6865593,53.8654673,"Lubeck, Germany",10.6865593,53.8654673,0
The Handmaid's Tale,Margaret Atwood,"Boston, MA",-71.0588801,42.3600825,"Boston, MA",-71.0588801,42.3600825,0
The Waves,Virginia Woolf,England,-1.1743197,52.3555177,"London, England",-0.1277583,51.5073509,73.72
